Year,Stand,Trapno,ABAM,ABLA,CANO,PSME,THPL,TSHE,TSME,Notes
2011,AB08,1,0,0,0,0,0,0,0,
2011,AB08,2,0,0,0,0,0,0,0,
2011,AB08,3,0,0,0,0,0,0,0,
2011,AB08,4,0,0,0,0,0,0,0,
2011,AB08,5,0,0,0,0,0,0,0,
2011,AB08,6,0,0,0,0,0,0,0,
2011,AE10,1,0,0,0,0,0,0,0,
2011,AE10,2,0,0,0,0,0,0,0,
2011,AE10,3,0,0,0,0,0,0,0,
2011,AE10,4,0,0,0,0,0,0,0,
2011,AE10,5,0,0,0,0,0,0,0,
2011,AE10,6,0,0,0,0,0,0,0,
2011,AG05,1,0,0,0,0,0,0,0,
2011,AG05,2,0,0,0,0,0,0,0,
2011,AG05,3,0,0,0,0,0,0,0,
2011,AG05,4,0,0,0,0,0,0,0,
2011,AG05,5,0,0,0,0,0,0,0,
2011,AG05,6,0,0,0,0,0,0,0,
2011,AM16,1,NA,NA,NA,NA,NA,NA,NA,no datahseet
2011,AM16,2,NA,NA,NA,NA,NA,NA,NA,no datahseet
2011,AM16,3,NA,NA,NA,NA,NA,NA,NA,no datahseet
2011,AM16,4,NA,NA,NA,NA,NA,NA,NA,no datahseet
2011,AM16,5,NA,NA,NA,NA,NA,NA,NA,no datahseet
2011,AM16,6,NA,NA,NA,NA,NA,NA,NA,no datahseet
2011,AO03,1,0,0,0,0,0,0,0,
2011,AO03,2,0,0,0,0,0,0,0,
2011,AO03,3,0,0,0,0,0,0,0,
2011,AO03,4,0,0,0,0,0,0,0,
2011,AO03,5,0,0,0,0,0,0,0,
2011,AO03,6,0,0,0,0,0,0,0,
2011,AR07,1,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AR07,2,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AR07,3,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AR07,4,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AR07,5,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AR07,6,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AV02,1,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AV02,2,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AV02,3,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AV02,4,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AV02,5,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AV02,6,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,AV06,1,0,0,0,0,0,0,0,
2011,AV06,2,0,0,0,0,0,0,0,
2011,AV06,3,0,0,0,0,0,0,0,
2011,AV06,4,0,0,0,0,0,0,0,
2011,AV06,5,0,0,0,0,0,0,0,
2011,AV06,6,0,0,0,0,0,0,0,
2011,AV14,1,0,0,0,0,0,0,0,
2011,AV14,2,0,0,0,0,0,0,0,
2011,AV14,3,0,0,0,0,0,0,0,
2011,AV14,4,0,0,0,0,0,0,0,
2011,AV14,5,0,0,0,0,0,0,0,
2011,AV14,6,0,0,0,0,0,0,0,
2011,AX15,1,0,0,0,0,0,0,0,
2011,AX15,2,0,0,0,0,0,0,0,
2011,AX15,3,0,0,0,0,0,0,0,
2011,AX15,4,0,0,0,0,0,0,0,
2011,AX15,5,0,0,0,0,0,0,0,
2011,AX15,6,0,0,0,0,0,0,0,
2011,PARA,1,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,PARA,2,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,PARA,3,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,PARA,4,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,PARA,5,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,PARA,6,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,PP17,1,0,0,0,0,0,0,0,
2011,PP17,2,0,0,0,0,0,0,0,
2011,PP17,3,0,0,0,0,0,0,0,
2011,PP17,4,0,0,0,0,0,0,0,
2011,PP17,5,0,0,0,0,0,0,0,
2011,PP17,6,0,0,0,0,0,0,0,
2011,SPRY,1,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,SPRY,2,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,SPRY,3,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,SPRY,4,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,SPRY,5,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,SPRY,6,NA,NA,NA,NA,NA,NA,NA,No datasheet
2011,SUNR,1,0,0,0,0,0,0,0,
2011,SUNR,2,0,0,0,0,0,0,0,
2011,SUNR,3,0,0,0,0,0,0,0,
2011,SUNR,4,0,0,0,0,0,0,0,
2011,SUNR,5,0,0,0,0,0,0,0,
2011,SUNR,6,0,0,0,0,0,0,0,
2011,TA01,1,0,0,0,0,0,0,0,
2011,TA01,2,0,0,0,0,0,0,0,
2011,TA01,3,0,0,0,0,0,0,0,
2011,TA01,4,0,0,0,0,0,0,0,
2011,TA01,5,0,0,0,0,0,0,0,
2011,TA01,6,0,0,0,0,0,0,0,
2011,TB13,1,0,0,0,0,0,0,0,
2011,TB13,2,0,0,0,0,0,0,0,
2011,TB13,3,0,0,0,0,0,0,0,
2011,TB13,4,0,0,0,0,0,0,0,
