Year,Stand,Trapno,ABAM,ABLA,CANO,PSME,THPL,TSHE,TSME,Notes
2016,AB08,1,0,0,0,0,0,0,0,
2016,AB08,2,0,0,0,0,0,0,0,
2016,AB08,3,0,0,0,0,0,0,0,
2016,AB08,4,0,0,0,0,0,0,0,
2016,AB08,5,0,0,0,0,0,0,0,
2016,AB08,6,0,0,0,0,0,0,0,
2016,AE10,1,0,0,0,0,0,0,0,
2016,AE10,2,0,0,0,0,0,0,0,
2016,AE10,3,0,0,0,0,0,0,0,
2016,AE10,4,0,0,0,0,0,0,0,
2016,AE10,5,0,0,0,0,0,0,0,
2016,AE10,6,0,0,0,0,0,0,0,
2016,AG05,1,0,0,0,0,0,0,0,
2016,AG05,2,0,0,0,0,0,0,0,
2016,AG05,3,0,0,0,0,0,0,0,
2016,AG05,4,0,0,0,0,0,0,0,
2016,AG05,5,0,0,0,0,0,0,0,
2016,AG05,6,0,0,0,0,0,0,0,
2016,AM16,1,0,0,0,0,0,0,0,
2016,AM16,2,0,0,0,0,0,0,0,
2016,AM16,3,0,0,0,0,0,0,0,
2016,AM16,4,0,0,0,0,0,0,0,
2016,AM16,5,0,0,0,0,0,1,0,
2016,AM16,6,0,0,0,0,0,0,0,
2016,AO03,1,0,0,0,0,0,0,0,
2016,AO03,2,0,0,0,0,0,0,0,
2016,AO03,3,0,0,0,0,0,0,0,
2016,AO03,4,0,0,0,0,0,0,0,
2016,AO03,5,0,0,0,0,0,0,0,
2016,AO03,6,0,0,0,0,0,0,0,
2016,AR07,1,0,0,0,0,0,0,0,
2016,AR07,2,0,0,0,0,0,0,0,
2016,AR07,3,0,0,0,0,0,0,0,
2016,AR07,4,0,0,0,0,0,0,0,
2016,AR07,5,0,0,0,0,0,0,0,
2016,AR07,6,0,0,0,0,0,0,0,
2016,AV02,1,0,0,0,0,0,0,0,
2016,AV02,2,0,0,0,0,0,0,0,
2016,AV02,3,0,0,0,0,0,0,0,
2016,AV02,4,0,0,0,0,0,0,0,
2016,AV02,5,0,0,0,0,0,0,0,
2016,AV02,6,0,0,0,0,0,0,0,
2016,AV06,1,0,0,0,0,0,0,0,
2016,AV06,2,0,0,0,0,0,0,0,
2016,AV06,3,0,0,0,0,0,0,0,
2016,AV06,4,0,0,0,0,0,0,0,
2016,AV06,5,0,0,0,0,0,0,0,
2016,AV06,6,0,0,0,0,0,0,0,
2016,AV14,1,0,0,0,0,0,0,0,
2016,AV14,2,1,0,0,0,0,14,0,
2016,AV14,3,0,0,0,0,0,0,0,Trap completely crushed
2016,AV14,4,0,0,0,0,0,2,0,
2016,AV14,5,0,0,1,0,0,11,0,
2016,AV14,6,0,0,0,0,0,15,0,
2016,AX15,1,0,0,0,0,0,0,0,
2016,AX15,2,0,0,0,0,0,0,0,
2016,AX15,3,0,0,0,0,0,0,0,
2016,AX15,4,0,0,0,0,0,0,0,
2016,AX15,5,0,0,0,0,0,0,0,
2016,AX15,6,0,0,0,0,0,0,0,
2016,PARA,1,1,0,0,0,0,0,0,
2016,PARA,2,0,0,0,0,0,0,0,
2016,PARA,3,0,0,0,0,0,0,0,
2016,PARA,4,0,0,0,0,0,0,0,
2016,PARA,5,0,0,0,0,0,0,0,
2016,PARA,6,4,0,0,0,0,0,0,
2016,PP17,1,0,0,0,0,0,0,0,
2016,PP17,2,0,0,0,0,0,0,0,
2016,PP17,3,0,0,0,0,0,0,0,
2016,PP17,4,0,0,0,0,0,0,0,
2016,PP17,5,0,0,0,0,0,0,0,
2016,PP17,6,0,0,0,0,0,0,0,
2016,SPRY,1,0,0,0,0,0,0,0,
2016,SPRY,2,0,1,0,0,0,0,0,
2016,SPRY,3,0,0,0,0,0,0,0,
2016,SPRY,4,0,1,0,0,0,0,0,
2016,SPRY,5,0,5,0,0,0,0,0,
2016,SPRY,6,2,2,0,0,0,0,0,
2016,SUNR,1,0,0,0,0,0,0,0,
2016,SUNR,2,0,0,0,0,0,0,0,
2016,SUNR,3,0,0,0,0,0,0,0,
2016,SUNR,4,0,0,0,0,0,0,0,
2016,SUNR,5,0,0,0,0,0,0,0,
2016,SUNR,6,0,0,0,0,0,0,0,
2016,TA01,1,0,0,0,0,0,0,0,
2016,TA01,2,0,0,0,0,0,0,0,
2016,TA01,3,0,0,0,0,0,0,0,
2016,TA01,4,0,0,0,0,0,0,0,
2016,TA01,5,0,0,0,0,0,0,0,
2016,TA01,6,0,0,0,0,0,0,0,
2016,TB13,1,0,0,0,0,0,0,0,
2016,TB13,2,0,0,0,0,0,0,0,
2016,TB13,3,0,0,0,0,0,0,0,
2016,TB13,4,0,0,0,0,0,0,0,
2016,TB13,5,0,0,0,0,0,0,0,
2016,TB13,6,0,0,0,0,0,0,0,
2016,TO04,1,0,0,0,0,0,0,0,
2016,TO04,2,0,0,0,0,0,0,0,
2016,TO04,3,0,0,0,0,0,0,0,
2016,TO04,4,0,0,0,0,0,0,0,
2016,TO04,5,0,0,0,0,0,0,0,
2016,TO04,6,0,0,0,0,0,0,0,
2016,TO11,1,0,0,0,0,0,0,0,
2016,TO11,2,0,0,0,0,0,0,0,
2016,TO11,3,0,0,0,0,0,2,0,
2016,TO11,4,0,0,0,0,0,1,0,
2016,TO11,5,0,0,0,0,0,0,0,
2016,TO11,6,0,0,0,0,0,0,0,
