Year,Stand,Trapno,ABAM,ABLA,CANO,PSME,THPL,TSHE,TSME,Notes
2013,AB08,1,0,0,0,0,0,0,0,
2013,AB08,2,0,0,0,0,0,0,0,
2013,AB08,3,0,0,0,0,0,0,0,
2013,AB08,4,0,0,0,0,0,0,0,
2013,AB08,5,0,0,0,0,0,0,0,
2013,AB08,6,0,0,0,0,0,0,0,
2013,AE10,1,0,0,0,0,0,0,0,
2013,AE10,2,0,0,0,0,0,0,0,
2013,AE10,3,0,0,0,0,0,0,0,
2013,AE10,4,0,0,0,0,0,0,0,replace basket
2013,AE10,5,0,0,0,0,0,0,0,"chicken wire partly removed, liner with 18in tear. Replaced liner."
2013,AE10,6,0,0,0,0,0,0,0,replace basket
2013,AG05,1,0,0,0,0,0,0,0,
2013,AG05,2,0,0,0,0,0,0,0,
2013,AG05,3,0,0,0,0,0,0,0,
2013,AG05,4,0,0,0,0,0,0,0,
2013,AG05,5,0,0,0,0,0,0,0,
2013,AG05,6,0,0,0,0,0,0,0,
2013,AM16,1,0,0,0,0,0,0,0,replace chicken wire. Basket rim cracked in 3 places
2013,AM16,2,0,0,0,0,0,0,0,Basket cracked. - replace
2013,AM16,3,0,0,0,0,0,0,0,"cone on wire, wire pried back and rusted heavily. Replace wire."
2013,AM16,4,0,0,0,0,0,0,0,wire pried up
2013,AM16,5,0,0,0,0,0,0,0,"2 corners of wire pried up. Basket rim cracked in 5 places, partially crushed."
2013,AM16,6,0,0,0,0,0,0,0,
2013,AO03,1,0,0,0,0,1,0,0,"bring drill, water builds up"
2013,AO03,2,0,0,0,0,0,0,0,"basket looks weak, 1 cone on wire"
2013,AO03,3,0,0,0,0,1,0,0,1 cone on wire
2013,AO03,4,0,0,0,0,2,0,0,3 cones on wire (PSME)
2013,AO03,5,0,0,0,0,1,0,0,1 cone on wire (PSME)
2013,AO03,6,0,0,0,0,0,0,0,3 cones on wire (PSME)
2013,AR07,1,0,0,0,0,0,0,0,branch over 1/3 of trap
2013,AR07,2,0,0,0,0,0,0,0,
2013,AR07,3,0,0,0,0,0,0,0,
2013,AR07,4,0,0,0,0,0,0,0,
2013,AR07,5,0,0,0,0,0,0,0,
2013,AR07,6,0,0,0,0,0,0,0,
2013,AV02,1,0,0,0,0,0,0,0,
2013,AV02,2,0,0,0,0,0,0,0,
2013,AV02,3,0,0,0,0,0,0,0,
2013,AV02,4,0,0,0,0,0,0,0,
2013,AV02,5,0,0,0,0,0,0,0,
2013,AV02,6,0,0,0,0,0,0,0,Hole in netting
2013,AV06,1,0,0,0,0,0,0,0,branch over 1/3 of trap
2013,AV06,2,0,0,0,0,0,0,0,
2013,AV06,3,0,0,0,0,0,0,0,
2013,AV06,4,0,0,0,0,0,0,0,trap smashed on sides
2013,AV06,5,0,0,0,0,0,0,0,trap smashed on sides and mesh partially off
2013,AV06,6,0,0,0,0,0,0,0,
2013,AV14,1,0,0,0,0,0,0,0,
2013,AV14,2,0,0,0,0,0,0,0,
2013,AV14,3,0,0,0,0,0,0,0,
2013,AV14,4,0,0,0,0,0,0,0,
2013,AV14,5,0,0,0,0,0,0,0,
2013,AV14,6,0,0,0,0,0,0,0,
2013,AX15,1,0,0,0,0,0,0,0,
2013,AX15,2,0,0,0,0,0,0,0,
2013,AX15,3,0,0,0,0,0,0,0,
2013,AX15,4,0,0,0,0,0,0,0,
2013,AX15,5,0,0,0,0,0,0,0,
2013,AX15,6,0,0,0,0,0,0,0,
2013,PARA,1,0,0,0,0,0,0,0,Fallen log on top. Corner of basket cracked.
