Year,Stand,Trapno,ABAM,ABLA,CANO,PSME,THPL,TSHE,TSME,Notes
2009,AE10,1,NA,NA,NA,NA,NA,NA,NA,
2009,AE10,2,NA,NA,NA,NA,NA,NA,NA,
2009,AE10,3,NA,NA,NA,NA,NA,NA,NA,
2009,AE10,4,NA,NA,NA,NA,NA,NA,NA,
2009,AE10,5,NA,NA,NA,NA,NA,NA,NA,
2009,AE10,6,NA,NA,NA,NA,NA,NA,NA,
2009,AG05,1,NA,NA,NA,NA,NA,NA,NA,
2009,AG05,2,NA,NA,NA,NA,NA,NA,NA,
2009,AG05,3,NA,NA,NA,NA,NA,NA,NA,
2009,AG05,4,NA,NA,NA,NA,NA,NA,NA,
2009,AG05,5,NA,NA,NA,NA,NA,NA,NA,
2009,AG05,6,NA,NA,NA,NA,NA,NA,NA,
2009,AM16,1,NA,NA,NA,NA,NA,NA,NA,
2009,AM16,2,NA,NA,NA,NA,NA,NA,NA,
2009,AM16,3,NA,NA,NA,NA,NA,NA,NA,
2009,AM16,4,NA,NA,NA,NA,NA,NA,NA,
2009,AM16,5,NA,NA,NA,NA,NA,NA,NA,
2009,AM16,6,NA,NA,NA,NA,NA,NA,NA,
2009,AR07,1,NA,NA,NA,NA,NA,NA,NA,
2009,AR07,2,NA,NA,NA,NA,NA,NA,NA,
2009,AR07,3,NA,NA,NA,NA,NA,NA,NA,
2009,AR07,4,NA,NA,NA,NA,NA,NA,NA,
2009,AR07,5,NA,NA,NA,NA,NA,NA,NA,
2009,AR07,6,NA,NA,NA,NA,NA,NA,NA,
2009,AV06,1,NA,NA,NA,NA,NA,NA,NA,
2009,AV06,2,NA,NA,NA,NA,NA,NA,NA,
2009,AV06,3,NA,NA,NA,NA,NA,NA,NA,
2009,AV06,4,NA,NA,NA,NA,NA,NA,NA,
2009,AV06,5,NA,NA,NA,NA,NA,NA,NA,
2009,AV06,6,NA,NA,NA,NA,NA,NA,NA,
2009,AX15,1,NA,NA,NA,NA,NA,NA,NA,
2009,AX15,2,NA,NA,NA,NA,NA,NA,NA,
2009,AX15,3,NA,NA,NA,NA,NA,NA,NA,
2009,AX15,4,NA,NA,NA,NA,NA,NA,NA,
2009,AX15,5,NA,NA,NA,NA,NA,NA,NA,
2009,AX15,6,NA,NA,NA,NA,NA,NA,NA,
2009,TB13,1,NA,NA,NA,NA,NA,NA,NA,
2009,TB13,2,NA,NA,NA,NA,NA,NA,NA,
2009,TB13,3,NA,NA,NA,NA,NA,NA,NA,
2009,TB13,4,NA,NA,NA,NA,NA,NA,NA,
2009,TB13,5,NA,NA,NA,NA,NA,NA,NA,
2009,TB13,6,NA,NA,NA,NA,NA,NA,NA,
2009,TO04,1,NA,NA,NA,NA,NA,NA,NA,
2009,TO04,2,NA,NA,NA,NA,NA,NA,NA,
2009,TO04,3,NA,NA,NA,NA,NA,NA,NA,
2009,TO04,4,NA,NA,NA,NA,NA,NA,NA,
2009,TO04,5,NA,NA,NA,NA,NA,NA,NA,
2009,TO04,6,NA,NA,NA,NA,NA,NA,NA,
