Year,Stand,Trapno,ABAM,ABLA,CANO,PSME,THPL,TSHE,TSME,Notes
2012,AB08,1,0,0,0,0,0,0,0,
2012,AB08,2,0,0,0,0,0,0,0,
2012,AB08,3,0,0,0,0,0,0,0,
2012,AB08,4,0,0,0,0,1,0,0,
2012,AB08,5,0,0,0,0,0,0,0,
2012,AB08,6,0,0,0,0,0,0,0,
2012,AE10,1,1,0,0,0,0,0,0,
2012,AE10,2,0,0,0,0,0,0,0,
2012,AE10,3,0,0,0,0,0,0,0,
2012,AE10,4,0,0,0,0,0,0,0,
2012,AE10,5,3,0,0,0,0,0,0,
2012,AE10,6,1,0,0,0,0,0,0,
2012,AG05,1,0,0,0,0,0,0,0,
2012,AG05,2,0,0,0,0,0,0,0,
2012,AG05,3,0,0,0,0,5,0,0,
2012,AG05,4,0,0,0,0,0,0,0,
2012,AG05,5,0,0,0,0,0,0,0,
2012,AG05,6,0,0,0,0,0,0,0,
2012,AM16,1,0,0,0,0,0,0,0,
2012,AM16,2,0,0,0,0,0,0,0,
2012,AM16,3,0,0,0,0,0,0,0,
2012,AM16,4,0,0,0,0,0,0,0,
2012,AM16,5,0,0,0,0,0,0,0,
2012,AM16,6,0,0,0,0,0,0,0,
2012,AO03,1,0,0,0,0,0,0,0,
2012,AO03,2,0,0,0,0,0,0,0,
2012,AO03,3,0,0,0,0,0,0,0,
2012,AO03,4,0,0,0,0,0,0,0,liner looks worn
2012,AO03,5,0,0,0,0,0,0,0,
2012,AO03,6,0,0,0,0,0,0,0,
2012,AR07,1,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,AR07,2,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,AR07,3,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,AR07,4,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,AR07,5,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,AR07,6,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,AV02,1,0,0,0,0,0,0,0,
2012,AV02,2,0,0,0,0,0,0,0,
2012,AV02,3,0,0,0,0,0,0,0,
2012,AV02,4,0,0,0,0,0,0,0,
2012,AV02,5,0,0,0,0,0,0,0,
2012,AV02,6,0,0,0,0,0,0,0,hole in liner - replaced
2012,AV06,1,0,0,0,0,0,0,0,
2012,AV06,2,1,0,0,0,0,0,0,
2012,AV06,3,0,0,0,0,0,0,0,
2012,AV06,4,0,0,0,0,0,0,0,
2012,AV06,5,5,0,0,0,0,0,0,
2012,AV06,6,0,0,0,0,0,0,0,
2012,AV14,1,0,0,0,0,0,1,0,
2012,AV14,2,2,0,0,0,0,2,0,
2012,AV14,3,0,0,0,0,0,2,0,
2012,AV14,4,0,0,0,0,0,1,0,
2012,AV14,5,1,0,0,0,0,3,0,
2012,AV14,6,1,0,0,0,0,1,0,
2012,AX15,1,0,0,0,0,0,0,0,
2012,AX15,2,0,0,0,0,0,0,0,
2012,AX15,3,0,0,0,0,0,0,0,
2012,AX15,4,0,0,0,0,0,0,0,
2012,AX15,5,0,0,0,0,0,0,0,
2012,AX15,6,0,0,0,0,0,0,0,
2012,PARA,1,NA,NA,NA,NA,NA,NA,NA,No datahsheet
2012,PARA,2,NA,NA,NA,NA,NA,NA,NA,No datahsheet
2012,PARA,3,NA,NA,NA,NA,NA,NA,NA,No datahsheet
2012,PARA,4,NA,NA,NA,NA,NA,NA,NA,No datahsheet
2012,PARA,5,NA,NA,NA,NA,NA,NA,NA,No datahsheet
2012,PARA,6,NA,NA,NA,NA,NA,NA,NA,No datahsheet
2012,PP17,1,0,0,0,0,0,1,0,
2012,PP17,2,0,0,0,0,0,2,0,
2012,PP17,3,0,0,0,0,0,0,0,
2012,PP17,4,0,0,0,0,0,0,0,
2012,PP17,5,0,0,0,0,0,0,0,
2012,PP17,6,0,0,0,0,0,0,0,
2012,SPRY,1,0,0,0,0,0,0,0,
2012,SPRY,2,0,0,0,0,0,0,0,
2012,SPRY,3,0,0,0,0,0,0,0,
2012,SPRY,4,0,0,0,0,0,0,0,
2012,SPRY,5,1,0,0,0,0,0,0,"* ABAM seedling could be ABLA, not fully developed"
2012,SPRY,6,0,0,0,0,0,0,0,
2012,SUNR,1,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,SUNR,2,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,SUNR,3,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,SUNR,4,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,SUNR,5,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,SUNR,6,NA,NA,NA,NA,NA,NA,NA,No datasheet
2012,TA01,1,0,0,0,0,0,0,0,
2012,TA01,2,0,0,0,0,0,0,0,
2012,TA01,3,0,0,0,0,0,0,0,
2012,TA01,4,0,0,0,0,0,0,0,
2012,TA01,5,0,0,0,0,0,0,0,
2012,TA01,6,0,0,0,0,0,0,0,
2012,TB13,1,0,0,0,0,1,5,0,
