"year","stand","trapno","size","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","cones_sds_all","germintrap","total_viable_sds"
2010,"AR07",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV02",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV02",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV02",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV02",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV02",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV02",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV06",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV06",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV06",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV06",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV06",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV06",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV14",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV14",2,0.17008125,"ABLA",0,1,0,NA,NA,0,0,0
2010,"AV14",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV14",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV14",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV14",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AX15",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AX15",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AX15",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AX15",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AX15",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AX15",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"PARA",1,0.17008125,"ABLA",1,3,0,NA,NA,0,0,1
2010,"PARA",2,0.17008125,"ABLA",6,1,0,NA,NA,0,0,6
2010,"PARA",3,0.17008125,"ABLA",16,2,0,NA,NA,0,0,16
2010,"PARA",4,0.17008125,"ABLA",7,2,0,NA,NA,0,0,7
2010,"PARA",5,0.17008125,"ABLA",7,2,0,NA,NA,0,0,7
2010,"PARA",6,0.17008125,"ABLA",11,1,0,NA,NA,0,0,11
2010,"PP17",1,0.17008125,"ABLA",6,0,0,NA,NA,0,0,6
2010,"PP17",2,0.17008125,"ABLA",7,0,0,NA,NA,0,0,7
2010,"PP17",4,0.17008125,"ABLA",8,0,0,NA,NA,0,0,8
2010,"PP17",5,0.17008125,"ABLA",7,1,0,NA,NA,0,0,7
2010,"PP17",6,0.17008125,"ABLA",1,0,0,NA,NA,0,0,1
2010,"TA01",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TA01",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TA01",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TA01",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TA01",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TA01",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TB13",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TB13",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TB13",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TB13",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TB13",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TB13",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO04",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO04",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO04",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO04",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO04",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO04",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO11",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO11",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO11",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO11",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO11",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"TO11",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AB08",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AB08",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AB08",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AB08",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AB08",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AB08",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AE10",1,0.17008125,"ABLA",2,0,0,NA,NA,0,0,2
2011,"AE10",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AE10",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AE10",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AE10",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AE10",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AG05",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AG05",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AG05",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AG05",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AG05",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AG05",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AM16",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AM16",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AM16",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AM16",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AM16",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AM16",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AO03",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AO03",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AO03",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AO03",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AO03",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AO03",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AR07",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AR07",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AR07",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AR07",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AR07",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AR07",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV02",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV02",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV02",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV02",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV02",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV02",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV06",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV06",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV06",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV06",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV06",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV06",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV14",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV14",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV14",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV14",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
