Year,Stand,Trapno,Spp,FilledSds,UnfilledSds,Cones,FilledSds/cones,UnfilledSds/cones,notes,,
2021,AO03,6,TSHE,22,1,2,0,0,,,
2021,AO03,6,ABAM,1,0,0,0,0,,,
2021,AO03,6,PSME,1,0,5,7,3,,,
2021,AO03,6,THPL,7,2,3,6,0,,,
2021,AV06,1,TSHE,9,1,2,1,0,NA,Nathan,
2021,AV06,1,THPL,1,0,0,0,0,NA,Nathan,
2021,AV06,2,PSME,1,0,0,0,0,NA,Sabine,
2021,AV06,2,TSHE,6,2,25,2,0,very small seeds from cones,Sabine,
2021,AV06,2,Alnus sp.,1,0,0,0,0,"ID not certain, maybe underdeveloped THPL? ALSI and ALRU are not on the plot!",Sabine,
2021,AV06,3,ABAM,3,0,0,0,0,NA,Nathan,
2021,AV06,3,TSHE,2,0,14,15,0,NA,Nathan,
2021,AV06,4,ABAM,2,0,0,0,0,,,
2021,AV06,4,Alnus sp.?,0,1,0,0,0,"Species not certain, Alnus doesn't occur at this site",,
2021,AV06,4,TSHE,4,0,13,3,0,,,
2021,AV06,4,THPL,1,0,0,0,0,Uncertain if filled or not,,
2021,AV06,5,TSHE,1,0,1,0,0,NA,Nathan,
2021,AV06,5,ABAM,1,0,0,0,0,species ID unsure (Abies),Nathan,
2021,AV06,5,PSME,2,0,0,0,0,NA,Nathan,
2021,AV06,6,ABAM,1,0,0,0,0,NA,Nathan,
2021,PARA,1,TSME,2,0,0,0,0,NA,Sabine,
2021,PARA,1,ABAM,2,0,0,0,0,likely ABAM,Sabine,
2021,PARA,2,TSME,2,0,1,0,0,NA,Sabine,
2021,PARA,3,THPL,2,0,0,0,0,this normally does not occur at PARA!,Sabine,
2021,PARA,3,TSME,1,0,0,0,0,seed broke apart,Sabine,
2021,PARA,3,PIEN,1,0,0,0,0,not sure. It si not supposed to grow at this stand.,Sabine,
2021,PARA,3,CANO,0,1,0,0,0,NA,Sabine,
2021,PARA,3,ABAM,2,0,0,0,0,likely ABAM,Sabine,
2021,PARA,4,ABAM,1,0,0,0,0,"difficult to tell abies apart, longer shape -> ABAM",,
2021,PARA,4,ABLA,0,1,0,0,0,"difficult to tell abies apart, triangular shape -> ABLA",,
