Year,Stand,Trapno,Species,Filled_seeds,Unfilled_seeds,Cones,FilledSeeds_Cones,UnfilledSeeds_Cones,Field Notes,Data Entry Notes
2019,AO03,4,THPL,1098,55,10,69,2,filled seeds in 6 vials,
2019,AO03,4,TSHE,555,56,8,16,3,filled seeds in 3 vials,
2019,AO03,5,ABAM,9,2,0,0,0,,
2019,AO03,5,PSME,73,28,5,37,26,filled seeds in 2 vials,
2019,AO03,5,THPL,832,303,1,0,2,"weighed / estimated, seeds in 6 vials",
2019,AO03,5,TSHE,393,64,5,19,2,filled seeds in 2 vials,
2019,AO03,6,ABAM,3,2,0,0,0,2 cone scales with no seeds,
2019,AO03,6,PSME,18,12,9,1,3,6 of the cones very small / too young to develop seeds,
2019,AO03,6,THPL,410,313,1,2,3,"weighed / estimated, seeds in 4 vials",
2019,AO03,6,TSHE,246,45,2,1,3,lost 1 unfilled seed after counting it (not in vial),
2019,AR07,1,ABAM,5,1,0,0,0,,
2019,AR07,1,CANO,60,1,5,17,0,,
2019,AR07,1,TSME,111,4,1,0,0,,
2019,AR07,2,ABAM,15,4,0,0,0,,
2019,AR07,2,CANO,90,0,15,2,37,,
2019,AR07,2,TSME,105,11,0,0,0,,
2019,AR07,3,ABAM,6,4,0,0,0,,
2019,AR07,3,CANO,52,3,9,13,0,,
2019,AR07,3,TSME,105,4,0,0,0,,
2019,AR07,4,ABAM,8,1,0,0,0,,
2019,AR07,4,CANO,20,2,0,0,0,,
2019,AR07,4,TSME,78,8,0,0,0,,
2019,AR07,5,ABAM,11,3,0,0,0,,
2019,AR07,5,CANO,13,1,2,3,1,,
2019,AR07,5,TSME,56,18,1,0,5,1 cone scale,
2019,AR07,6,ABAM,10,6,0,0,0,,
2019,AR07,6,CANO,35,2,8,26,0,,
2019,AR07,6,TSME,118,4,0,0,0,,
2019,AV02,1,ABAM,5,2,0,0,0,,
2019,AV02,1,PSME,2,0,0,0,0,,
2019,AV02,1,THPL,25,6,0,0,0,,
2019,AV02,1,TSHE,700,85,4,1,0,filled seeds in 3 vials,
2019,AV02,2,ABAM,11,8,0,0,0,,
2019,AV02,2,THPL,27,0,0,0,0,,
2019,AV02,2,TSHE,447,100,8,1,0,filled seeds in 2 vials,
2019,AV02,3,ABAM,14,3,0,0,0,a lot of cone scales but none with seeds attached,
2019,AV02,3,PSME,0,3,0,0,0,,
2019,AV02,3,THPL,24,1,0,0,0,,
2019,AV02,3,TSHE,492,66,7,3,0,filled seeds in 2 vials,
2019,AV02,4,ABAM,8,6,0,0,0,,
2019,AV02,4,PSME,0,1,0,0,0,,
2019,AV02,4,THPL,16,0,0,0,0,,
2019,AV02,4,TSHE,358,59,10,12,0,,
2019,AV02,5,ABAM,22,16,0,0,1,"1 cone scale with seed, filled seeds in 2 vials",
2019,AV02,5,PSME,2,0,0,0,0,,
2019,AV02,5,THPL,21,0,0,0,0,,
2019,AV02,5,TSHE,636,79,2,0,0,filled seeds in 3 vials,
2019,AV02,6,ABAM,34,27,0,1,2,"2 cone scales with seeds, filled seeds in 3 vials, unfilled seeds in 2 vials",
2019,AV02,6,THPL,14,5,0,0,0,,
2019,AV02,6,TSHE,370,15,1,0,0,filled seeds in 2 vials,
2019,AV06,1,ABAM,3,1,0,0,0,,
2019,AV06,1,PSME,7,1,0,0,0,,
2019,AV06,1,THPL,4,1,0,0,0,,
2019,AV06,1,TSHE,220,12,1,0,0,,
2019,AV06,2,ABAM,3,1,0,0,0,,
2019,AV06,2,PSME,6,5,0,0,0,,
2019,AV06,2,THPL,5,0,0,0,0,,
2019,AV06,2,TSHE,191,6,18,0,3,,
2019,AV06,3,ABAM,4,4,0,0,0,,
2019,AV06,3,PSME,4,4,0,0,0,,
2019,AV06,3,THPL,2,1,0,0,0,,
2019,AV06,3,TSHE,212,9,0,0,0,,
2019,AV06,4,ABAM,10,7,0,1,1,1 cone scale with seeds,
2019,AV06,4,PSME,7,1,0,0,0,,
2019,AV06,4,THPL,6,1,0,0,0,,
2019,AV06,4,TSHE,204,17,14,5,2,,
2019,AV06,5,ABAM,13,10,0,0,0,,
2019,AV06,5,CANO,1,0,0,0,0,,
2019,AV06,5,PSME,5,0,0,0,0,,
2019,AV06,5,THPL,8,4,0,0,0,,
2019,AV06,5,TSHE,197,20,0,0,0,,
2019,AV06,6,ABAM,9,7,0,0,0,,
2019,AV06,6,PSME,8,5,0,0,0,,
2019,AV06,6,THPL,2,4,0,0,0,,
2019,AV06,6,TSHE,106,4,0,0,0,,
2019,AV14,1,ABAM,3,5,0,0,1,1 cone scale with seeds,
2019,AV14,1,THPL,1,0,0,0,0,,
2019,AV14,1,TSHE,990,13,14,30,2,,
2019,AV14,2,ABAM,1,0,0,0,0,,
2019,AV14,2,CANO,1,1,0,0,0,,
2019,AV14,2,PSME,1,0,0,0,0,,
2019,AV14,2,THPL,1,0,0,0,0,,
2019,AV14,2,TSHE,1042,53,8,50,3,"5 cone scales with seeds, filled seeds estimated by weight",
2019,AV14,3,ABAM,8,8,0,0,0,,
2019,AV14,3,TSHE,1238,237,134,263,88,"many cone scales with seeds, 2 filled seeds with seedling growing out of, filled seeds in 4 vials",
2019,AV14,4,ABAM,6,2,0,0,0,,
2019,AV14,4,TSHE,1256,83,62,214,0,143 cone scales with seeds,
2019,AV14,5,ABAM,5,5,0,0,0,3 cone scales but no attached seeds,
2019,AV14,5,PSME,2,0,0,0,0,PSME not expected at this stand,
2019,AV14,5,TSHE,596,133,39,33,13,filled seeds in 2 vials,
2019,AV14,6,ABAM,8,0,0,0,0,,
2019,AV14,6,CANO,3,0,0,0,0,,
2019,AV14,6,TSHE,830,37,8,55,6,30 cone scales with seeds,
2019,AX15,1,PSME,2,0,0,0,0,,
2019,AX15,1,THPL,74,16,4,10,0,,
2019,AX15,1,TSHE,771,12,7,19,0,,
2019,AX15,2,PSME,2,0,0,0,0,,
2019,AX15,2,THPL,36,3,0,0,0,broke some of the filled seeds in half,
2019,AX15,2,TSHE,677,109,3,0,0,,
2019,AX15,3,PSME,1,0,0,0,0,,
2019,AX15,3,THPL,16,2,0,0,0,,
2019,AX15,3,TSHE,740,37,2,1,0,"filled seeds in 3 vials labeled A, B, and C",
2019,AX15,4,PSME,1,5,0,0,0,,
2019,AX15,4,THPL,3,0,0,0,0,,
2019,AX15,4,TSHE,649,27,2,0,0,filled seeds in 3 vials,
2019,AX15,5,PSME,2,1,0,0,0,,
2019,AX15,5,THPL,6,0,0,0,0,,
2019,AX15,5,TSHE,817,32,9,5,2,filled seeds in 4 vials,
2019,AX15,6,PSME,4,2,0,0,0,,
2019,AX15,6,THPL,4,0,0,0,0,,
2019,AX15,6,TSHE,677,31,6,3,1,filled seeds in 3 vials,
2019,PARA,1,ABAM,8,0,0,0,0,,
2019,PARA,1,ABLA,5,0,0,0,0,one got broken up…,
2019,PARA,1,TSME,49,0,0,0,0,,
2019,PARA,2,ABAM,3,0,0,0,0,,
2019,PARA,2,ABLA,5,0,0,0,0,,
2019,PARA,2,TSME,98,0,0,0,0,,
2019,PARA,3,ABAM,3,0,0,0,0,,
2019,PARA,3,ABLA,27,0,0,0,0,,
