Side,Stand,Trap,FirstYearData,LastYearData,2012
E,AO03,4,2010,NA,0.17008125
E,AO03,5,2010,NA,0.17008125
E,AO03,6,2010,NA,0.17008125
E,AO03,7,NA,NA,NA
E,AO03,8,NA,NA,NA
E,AO03,9,NA,NA,NA
E,AO03,10,NA,NA,NA
E,AO03,11,NA,NA,NA
E,AO03,12,NA,NA,NA
E,AO03,13,NA,NA,NA
E,AO03,14,NA,NA,NA
E,AO03,15,NA,NA,NA
SW,AR07,1,2009,NA,0.17008125
SW,AR07,2,2009,NA,0.17008125
SW,AR07,3,2009,NA,0.17008125
SW,AR07,4,2009,NA,0.17008125
SW,AR07,5,2009,NA,0.17008125
SW,AR07,6,2009,NA,0.17008125
E,AV02,1,2010,NA,0.17008125
E,AV02,2,2010,NA,0.17008125
E,AV02,3,2010,NA,0.17008125
E,AV02,4,2010,NA,0.17008125
E,AV02,5,2010,NA,0.17008125
E,AV02,6,2010,NA,0.17008125
SW,AV06,1,2009,NA,0.17008125
SW,AV06,2,2009,NA,0.17008125
SW,AV06,3,2009,NA,0.17008125
SW,AV06,4,2009,NA,0.17008125
SW,AV06,5,2009,NA,0.17008125
SW,AV06,6,2009,NA,0.17008125
SW,AV06,7,NA,NA,NA
SW,AV06,8,NA,NA,NA
SW,AV06,9,NA,NA,NA
SW,AV06,10,NA,NA,NA
SW,AV06,11,NA,NA,NA
SW,AV06,12,NA,NA,NA
SW,AV06,13,NA,NA,NA
SW,AV06,14,NA,NA,NA
SW,AV06,15,NA,NA,NA
NW,AV14,1,2010,NA,0.17008125
NW,AV14,2,2010,NA,0.17008125
NW,AV14,3,2010,NA,0.17008125
NW,AV14,4,2010,NA,0.17008125
NW,AV14,5,2010,NA,0.17008125
NW,AV14,6,2010,NA,0.17008125
SW,AX15,1,2009,NA,0.17008125
SW,AX15,2,2009,NA,0.17008125
SW,AX15,3,2009,NA,0.17008125
SW,AX15,4,2009,NA,0.17008125
SW,AX15,5,2009,NA,0.17008125
SW,AX15,6,2009,NA,0.17008125
SW,PARA,1,2010,NA,0.17008125
SW,PARA,2,2010,NA,0.17008125
SW,PARA,3,2010,NA,0.17008125
SW,PARA,4,2010,NA,0.17008125
SW,PARA,5,2010,NA,0.17008125
SW,PARA,6,2010,NA,0.17008125
SW,PARA,7,NA,NA,NA
SW,PARA,8,NA,NA,NA
SW,PARA,9,NA,NA,NA
SW,PARA,10,NA,NA,NA
SW,PARA,11,NA,NA,NA
SW,PARA,12,NA,NA,NA
SW,PARA,13,NA,NA,NA
SW,PARA,14,NA,NA,NA
SW,PARA,15,NA,NA,NA
E,PP17,1,2010,NA,0.17008125
E,PP17,2,2010,NA,0.17008125
E,PP17,3,2010,NA,0.17008125
E,PP17,4,2010,NA,0.17008125
E,PP17,5,2010,NA,0.17008125
E,PP17,6,2010,NA,0.17008125
NW,SPRY,1,2011,NA,0.17008125
NW,SPRY,2,2011,NA,0.17008125
NW,SPRY,3,2011,NA,0.17008125
NW,SPRY,4,2011,NA,0.17008125
NW,SPRY,5,2011,NA,0.17008125
NW,SPRY,6,2011,NA,0.17008125
E,SUNR,1,2011,NA,0.17008125
E,SUNR,2,2011,NA,0.17008125
E,SUNR,3,2011,NA,0.17008125
E,SUNR,4,2011,NA,0.17008125
E,SUNR,5,2011,NA,0.17008125
E,SUNR,6,2011,NA,0.17008125
E,TA01,1,2010,NA,0.17008125
E,TA01,2,2010,NA,0.17008125
E,TA01,3,2010,NA,0.17008125
E,TA01,4,2010,NA,0.17008125
E,TA01,5,2010,NA,0.17008125
E,TA01,6,2010,NA,0.17008125
E,TA01,7,NA,NA,NA
E,TA01,8,NA,NA,NA
E,TA01,9,NA,NA,NA
E,TA01,10,NA,NA,NA
E,TA01,11,NA,NA,NA
E,TA01,12,NA,NA,NA
E,TA01,13,NA,NA,NA
E,TA01,14,NA,NA,NA
E,TA01,15,NA,NA,NA
SW,TB13,1,2009,NA,0.17008125
SW,TB13,2,2009,NA,0.17008125
SW,TB13,3,2009,NA,0.17008125
SW,TB13,4,2009,NA,0.17008125
SW,TB13,5,2009,NA,0.17008125
SW,TB13,6,2009,NA,0.17008125
SW,TO04,1,2009,NA,0.17008125
SW,TO04,2,2009,NA,0.17008125
SW,TO04,3,2009,NA,0.17008125
SW,TO04,4,2009,NA,0.17008125
SW,TO04,5,2009,NA,0.17008125
SW,TO04,6,2009,NA,0.17008125
SW,TO04,7,NA,NA,NA
SW,TO04,8,NA,NA,NA
SW,TO04,9,NA,NA,NA
SW,TO04,10,NA,NA,NA
SW,TO04,11,NA,NA,NA
SW,TO04,12,NA,NA,NA
SW,TO04,13,NA,NA,NA
SW,TO04,14,NA,NA,NA
SW,TO04,15,NA,NA,NA
NW,TO11,1,2010,NA,0.17008125
NW,TO11,2,2010,NA,0.17008125
NW,TO11,3,2010,NA,0.17008125
NW,TO11,4,2010,NA,0.17008125
NW,TO11,5,2010,NA,0.17008125
NW,TO11,6,2010,NA,0.17008125
